,Price,Mileage,Age,Model_Camry,Model_Civic,Model_Corolla
0,24995,10949,2,0,0,0
1,20550,32717,3,0,1,0
2,25995,16838,3,1,0,0
3,27161,13904,1,0,1,0
4,21550,28400,2,0,1,0
5,21577,33280,7,0,0,0
6,30606,17212,2,0,0,0
7,19735,48891,2,0,0,1
8,26695,21343,3,1,0,0
9,18533,53723,3,0,0,1
10,26646,10049,0,0,0,1
11,16180,88625,6,0,0,1
12,23222,46998,3,1,0,0
13,31371,25229,2,0,0,0
14,30975,18224,2,1,0,0
15,26987,16929,1,1,0,0
16,35951,11964,1,0,0,0
17,19521,99433,6,0,0,0
18,26487,20871,3,1,0,0
19,29030,15081,2,0,1,0
20,26000,39117,3,0,1,0
21,25996,10894,2,0,1,0
22,31000,18778,3,0,0,0
23,24247,43889,3,1,0,0
24,20788,88345,6,0,0,0
25,22995,21670,5,1,0,0
26,23899,16969,2,0,0,1
27,15998,143788,7,0,0,0
28,29372,13815,1,1,0,0
29,21797,26127,1,0,0,1
30,18838,49198,5,0,0,1
31,25135,12407,3,0,1,0
32,34374,26047,1,0,0,0
33,25738,29263,5,0,0,0
34,33621,13542,1,0,0,0
35,25699,15306,2,0,0,1
36,34172,11751,1,0,0,0
37,30000,41361,1,0,0,0
38,18123,67621,3,0,0,1
39,19446,45237,3,0,0,1
40,22500,15671,2,0,0,1
41,26394,13460,1,0,0,1
42,25500,14092,2,0,1,0
43,23513,16764,1,0,0,1
44,22499,54021,3,1,0,0
45,20991,45663,5,1,0,0
46,28987,13968,1,1,0,0
47,22655,55612,3,1,0,0
48,25587,27780,3,0,1,0
49,17941,52548,3,0,0,1
50,28891,5854,1,0,1,0
51,17990,85329,5,0,1,0
52,26598,35276,3,1,0,0
53,23998,59942,3,1,0,0
54,21771,52730,2,0,0,1
55,21437,46786,6,0,0,0
56,30405,37840,2,0,0,0
57,29898,53782,4,0,0,0
58,23884,15927,1,0,0,1
59,30999,18500,3,0,0,0
60,22997,34860,2,1,0,0
61,23199,17543,2,0,0,1
62,22891,82933,3,1,0,0
63,22992,23462,3,0,0,1
64,26996,33190,2,0,1,0
65,20579,46588,2,0,0,1
66,24999,49418,4,0,1,0
67,20995,38105,2,0,0,1
68,19998,44855,1,0,0,1
69,18400,24245,2,0,0,1
70,24000,39029,2,0,1,0
71,23991,20981,3,0,1,0
72,27995,14346,3,0,0,0
73,24999,48000,2,1,0,0
74,23000,77110,5,0,0,0
75,33996,12318,1,0,0,0
76,25491,78024,4,0,0,0
77,17986,52227,3,0,0,1
78,18497,56854,3,0,0,1
79,22730,50247,3,1,0,0
80,25990,47529,4,0,0,0
81,23850,38439,3,0,1,0
82,29350,23118,2,0,0,0
83,28877,5947,1,0,1,0
84,23995,47171,2,1,0,0
85,27904,8938,2,0,1,0
86,21318,92629,5,0,1,0
87,24357,33931,2,0,1,0
88,21888,32050,2,0,0,1
89,20756,75943,5,1,0,0
90,28529,14500,2,0,1,0
91,17995,88192,4,0,0,1
92,24959,11101,3,0,1,0
93,27874,10035,2,0,1,0
94,23987,40148,2,1,0,0
95,19597,68395,5,1,0,0
96,20995,57707,7,0,0,0
97,28529,29250,2,0,0,0
98,24493,55271,2,0,0,0
99,30383,42762,2,0,1,0
100,29436,10282,1,1,0,0
101,19591,83486,5,1,0,0
102,18693,54440,3,0,0,1
103,21703,13221,2,0,0,1
104,19999,76528,8,0,0,0
105,27500,30576,3,0,0,0
106,29777,26454,2,0,0,0
107,23685,23014,3,0,0,1
108,19249,83066,6,1,0,0
109,17990,101471,7,0,0,0
110,19576,60480,2,0,0,1
111,21642,107920,3,1,0,0
112,22367,41001,2,0,0,1
113,23995,98576,4,0,0,0
114,24995,3810,2,0,0,0
115,19991,78196,6,0,0,1
116,22799,25065,4,0,0,1
117,22798,54845,3,1,0,0
118,18595,90212,5,0,0,0
119,20045,55338,3,0,0,1
120,23000,36133,3,0,1,0
121,27237,37834,3,0,1,0
122,28795,24492,2,0,0,0
123,13999,169153,8,0,0,0
124,24485,89751,4,1,0,0
125,25715,35846,2,0,1,0
126,30042,21486,2,0,0,0
127,29845,960,0,0,0,1
128,23591,56619,3,1,0,0
129,19043,58259,2,0,0,1
130,18377,72791,5,0,0,1
131,13782,86115,12,0,0,0
132,24184,53791,3,0,1,0
133,17599,64857,4,0,0,1
134,29000,30000,2,0,0,0
135,24656,8935,2,0,1,0
136,25952,38213,4,1,0,0
137,15495,129130,9,0,0,0
138,19425,55763,2,0,0,1
139,25499,24242,1,0,0,1
140,27360,22082,3,0,0,0
141,21938,70844,3,1,0,0
142,11995,242371,4,0,1,0
143,14807,156803,8,0,0,0
144,19483,57333,2,0,0,1
145,19505,53380,2,0,0,1
146,27902,36122,2,1,0,0
147,18996,30826,7,0,1,0
148,27988,26736,2,1,0,0
149,25806,51412,4,1,0,0
150,20900,32584,3,0,0,1
151,33912,13673,1,0,0,0
152,23851,50739,4,1,0,0
153,17500,100902,9,0,0,0
154,26500,31661,2,1,0,0
155,24989,81267,3,0,1,0
156,17791,112661,6,0,1,0
157,29750,14701,2,0,0,0
158,22536,56284,3,1,0,0
159,20977,53212,3,0,1,0
160,16499,103295,8,0,0,0
161,18989,51400,2,0,0,1
162,19465,52136,2,0,0,1
163,24535,42104,4,1,0,0
164,25554,27651,4,1,0,0
165,24993,30654,4,1,0,0
166,14884,97986,7,0,0,1
